PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2008-01-26.83,C/2008 B01,SOHO-1430,H.Su,C3,0.0071
2008-01-28.412,C/2008 B02,SOHO-1431,A.Kubczak,C2 C3 HI1A,0.00472
2008-01-29.34,C/2008 B03,SOHO-1432,H.Su,C3,0.0050
2008-01-30.60,C/2008 B04,SOHO-1433,B.Zhou,C3,0.0069
2008-02-04.433,C/2008 C04,SOHO-1435,H.Su,C3 HI1A,0.00959
2008-02-06.510,C/2008 C05,SOHO-1436,A.Kubczak,C3 HI1A,0.00479
2008-02-08.195,C/2008 C06 SOHO-1437,B.Zhou,C3 HI1A,0.00665
2008-02-09.900,C/2008 C07 SOHO-1438,H.Su,C3 HI1A,0.00425
2008-02-16.09,C/2008 C08 SOHO-1439,J.Sachs,C2 C3 HI1A,0.0083
2008-02-19.59,C/2008 D05 SOHO-1441,H.Su,C3 HI1A,0.0049
2008-02-26.274,C/2008 D07 SOHO-1443,B.Zhou,C3 HI1A,0.00592
2008-02-25.08,C/2008 D08 SOHO-1444,B.Zhou,C3 HI1A,0.0054
2008-03-01.114,C/2008 D09 SOHO-1445,B.Zhou,C2 C3 HI1A,0.00437
2008-03-07.767,C/2008 E08 SOHO-1448,H.Su,C3 HI1A,0.00648
2008-03-12.617,C/2008 E09 SOHO-1449,B.Zhou,C2 C3 HI1A,0.00629
2008-04-02.31,C/2008 G03 SOHO-1451,H.Su,C2,0.0050
2008-04-09.85,C/2008 G04 SOHO-1452,M.Kusiak,C2,0.0049
2008-04-10.37,C/2008 G05 SOHO-1453,M.Uchina,C2,0.0048
2008-04-17.01,C/2008 H02 SOHO-1455,H.Su,C2,0.0054
2008-04-17.27,C/2008 H03 SOHO-1456,R.Matson,C2 C3,0.0044
2008-04-22.09,C/2008 H09 SOHO-1465,H.Su,C2,0.0050
2008-04-26.13,C/2008 H05 SOHO-1458,H.Su,C3,0.0048
2008-04-27.63,C/2008 H06 SOHO-1459,E.Banach,C2,0.0086
2008-04-30.30,C/2008 H07 SOHO-1460,M.Meyer,C2,0.0082
2008-05-01.26,C/2008 H08 SOHO-1461,M.Kusiak,C2,0.0051
2008-05-02.08,C/2008 J07 SOHO-1462,H.Su,C2,0.0085
2008-05-05.51,C/2008 J08 SOHO-1463,J.Ruan,C2,0.0072
2008-05-05.72,C/2008 J09 SOHO-1464,M.Kusiak,C2,0.0051
2008-05-08.02,C/2008 J11 SOHO-1467,G.Pappa,C2, 0.0052
2008-05-12.50,C/2008 J13 SOHO-1469,R.Kracht,C2,0.0089
2008-05-13.49,C/2008 J15 SOHO-1471,J.Ruan,C2,0.0048
2008-05-14.40,C/2008 J14 SOHO-1470,R.Matson,C2 C3,0.0045
2008-05-14.77,C/2008 J16 SOHO-1472,J.Ruan,C2,0.0051
2008-05-17.74,C/2008 K1 SOHO-1473,M.Kusiak,C2,0.0054
2008-05-18.07,C/2008 K2 SOHO-1474,M.Kusiak,C2,0.0051
2008-05-18.39,C/2008 K3 SOHO-1475,M.Kusiak,C2,0.0079
