PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2009-01-01.63,C/2009 A02 SOHO-1598,H.Su,C3,0.0076
2009-01-02.250,C/2009 A03 SOHO-1599,H.Su,C2 C3,0.00460
2009-01-02.764,C/2009 A04 SOHO-1600,H.Su,C3,0.00469
2009-01-03.216,C/2009 A05 SOHO-1601,H.Su,C3,0.00749
2009-01-05.15,C/2009 A07 SOHO-1602,A.Kubczak,C3,0.0066
2009-01-21.63,C/2009 B08 SOHO-1603,B.Zhou,C3,0.0071
2009-01-29.80,C/2009 B09 SOHO-1604,Z.Xu,C3,0.0071
2009-01-31.40,C/2009 B11 SOHO-1607,T.Hoffman,C3,0.0051
2009-02-05.65,C/2009 C03 SOHO-1608,R.Matson,C2 C3,0.0047
2009-02-09.12,C/2009 C04 SOHO-1609,B.Zhou,C3,0.0065
2009-02-11.98,C/2009 C05 SOHO-1610,M.Kaluzny,C3,0.0053
2009-02-19.76,C/2009 D02 SOHO-1611,B.Zhou,C3,0.0051
2009-02-19.86,C/2009 D03 SOHO-1612,J.Ruan,C3,0.0059
2009-02-23.438,C/2009 D04 SOHO-1613,T.Hoffman,C2 C3,0.00555
2009-02-24.44,C/2009 D05 SOHO-1614,M.Kusiak,C3,0.0051
2009-02-27.557,C/2009 D07 SOHO-1617,M.Uchina,C2 C3,0.00565
2009-03-01.90,C/2009 E02 SOHO-1618,M.Kusiak&B.Zhou,C3,0.0051
2009-03-10.50,C/2009 E05 SOHO-1621,B.Zhou,C2,0.0050
2009-03-11.07,C/2009 E04 SOHO-1620,M.-T. Hui,C2 C3,0.0051
2009-03-17.57,C/2009 F08 SOHO-1622,M.Uchina,C2 C3,0.0083
2009-03-29.15,C/2009 F09 SOHO-1623,H.Su,C2 C3,0.0075
2009-03-30.38,C/2009 F10 SOHO-1624,M.Uchina,C2,0.0054
2009-04-02.40,C/2009 G02 SOHO-1625,H.Su,C2,0.0051
2009-04-02.97,C/2009 G03 SOHO-1626,B.Zhou,C2 C3,0.0053
2009-04-04.99,C/2009 G04 SOHO-1627,A.Kubczak,C2,0.0051
2009-04-07.32,C/2009 G05 SOHO-1628,H.Su,C2,0.0051
2009-04-10.70,C/2009 G06 SOHO-1629,B.Zhou,C2,0.0051
2009-04-14.60,C/2009 G07 SOHO-1630,A.Kubczak,C3,0.0079
2009-04-18.87,C/2009 H03 SOHO-1632,M.Kusiak,C2,0.0052
2009-04-19.94,C/2009 H04 SOHO-1633,M.Kusiak,C2,0.0075
2009-04-22.62,C/2009 H05 SOHO-1634,B.Zhou,C2,0.0050
2009-04-24.34,C/2009 H06 SOHO-1635,B.Zhou,C2,0.0048
