PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES ,Auto/Vis. Disc.
1998-01-13.26,C/1998 A1 SOHO-37,C. St. Cyr,C3,0.0054,6811,V
1998-01-26.15,C/1998 B2 SOHO-254,J. Danaher,C2 C3,0.0049,7558,V
1998-03-03.69,C/1998 E1 SOHO-43,D. Biesecker,C3,0.0053,6837,V
1998-03-22.43,C/1998 F1 SOHO-44,D. Biesecker,C2 C3,0.0095,6862,V
1998-03-28.19,C/1998 F2 SOHO-202,M. Meyer,C2,0.0050,7485,V
1998-04-02.42,C/1998 G2 SOHO-45,D. Biesecker,C2,0.0049,6879,V
1998-04-06.72,C/1998 G5 SOHO-186,M. Oates,C2,0.0050,7480,V
1998-04-07.15,C/1998 G6 SOHO-187,M. Oates,C2,0.0053,7480,V
1998-04-07.89,C/1998 G7 SOHO-188,M. Oates,C2,0.0079,7480,V
1998-04-09.98,C/1998 G8 SOHO-192,D. Hammer,C2,0.0050,7480,V
1998-04-11.46,C/1998 G4 SOHO-47,K. Schenk,C2 C3,0.0092,6952,V
1998-04-20.58,C/1998 H5 SOHO-393,S. Hoenig,C2,0.0049,7842,V
1998-04-20.61,C/1998 H6 SOHO-394,S. Hoenig,C2,0.0050,7842,V
1998-04-26.87,C/1998 H3 SOHO-194,M. Oates,C2,0.0054,7480,V
1998-04-28.32,C/1998 H4 SOHO-193,M. Oates,C2,0.0050,7480,V
1998-04-30.78,C/1998 H2 SOHO-48,S. Stezelberger,C2 C3,0.0067,6952,V
1998-05-05.07,C/1998 J3 SOHO-136,D. Hammer,C2,0.0058,7445,V
1998-05-06.65,C/1998 J4 SOHO-137,D. Hammer,C2,0.0049,7445,V
1998-05-11.68,C/1998 J2 SOHO-50,D. Biesecker,C2 C3,0.0055,6952,V
1998-05-12.58,C/1998 J5 SOHO-1144,H.Su,C2,0.0052, ,V
1998-05-17.65,C/1998 K7 SOHO-51,A. Vourlidas,C2 C3,0.0058,6952,V
1998-05-20.22,C/1998 K8 SOHO-52,D. Biesecker,C2 C3,0.0064,6952,V
1998-05-21.40,C/1998 K12 SOHO-140,M. Oates,C2,0.0063,7445,V
