PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2005-01-01.64,C/2004 Y12 SOHO-896,T. Hoffman,C2 C3,0.0050
2005-01-04.21,C/2005 A2 SOHO-897,Y.-S. Tsai,C3,0.0055
2005-01-07.28,C/2005 A3 SOHO-898,H. Su,C3,0.0067
2005-01-14.34,C/2005 A4 SOHO-899,H. Su,C3,0.0067
2005-01-15.94,C/2005 A5 SOHO-900,R. Kracht,C3,0.0048
2005-01-22.88,C/2005 B5 SOHO-1293,B.Zhou,C3,0.0048
2005-01-26.08,C/2005 B2 SOHO-901,K.Cernis,C3,0.0050
2005-01-27.52,C/2005 B3 SOHO-902,X.Leprette,C3,0.0049
2005-01-31.11,C/2005 B6 SOHO-1294,B.Zhou,C3,0.0051
2005-02-02.74,C/2005 C2 SOHO-906,H.Su,C3,0.0050
2005-02-08.55,C/2005 C3 SOHO-907,X.Leprette,C2 C3,0.0049
2005-02-22.68,C/2005 D2 SOHO-909,T.Hoffman,C3,0.0066
2005-02-23.23,C/2005 D3 SOHO-910,K.Cernis,C3,0.0070
2005-02-26.99,C/2005 D4 SOHO-912,B.Zhou,C3,0.0049
2005-02-27.92,C/2005 D5 SOHO-913,B.Zhou,C2 C3,0.0056
2005-03-06.96,C/2005 E3 SOHO-914,M.Oates,C2,0.0050
2005-03-12.64,C/2005 E5 SOHO-916,H.Su,C3,0.0051
2005-03-14.93,C/2005 E7 SOHO-918,X.Leprette,C2 C3,0.0052
2005-03-15.19,C/2005 E6 SOHO-917,B.Zhou,C2 C3,0.0048
2005-03-15.28,C/2005 E9 SOHO-924,B.Zhou,C2,0.0050
2005-03-15.82,C/2005 E8 SOHO-919,T.Hoffman,C2 C3,0.0048
2005-03-18.17,C/2005 F1 SOHO-925,H.Su,C2 C3,0.0055
2005-03-19.32,C/2005 F2 SOHO-926,H.Su,C2 C3,0.0067
2005-03-28.35,C/2005 F3 SOHO-932,M.Meyer,C2,0.0049
2005-03-28.99,C/2005 F5 SOHO-934,B.Zhou,C2,0.0051
2005-03-29.14,C/2005 F4 SOHO-933,H.Su,C2 C3,0.0068
2005-04-04.76,C/2005 G3 SOHO-935,X.Leprette,C2 C3,0.0091
2005-04-08.54,C/2005 G4 SOHO-936,H.Su,C2,0.0051
2005-04-10.29,C/2005 G5 SOHO-937,C.Liang,C2,0.0051
2005-04-12.05,C/2005 G6 SOHO-938,B.Zhou,C2,0.0048
2005-04-14.53,C/2005 G7 SOHO-940,H.Su,C2,0.0049
2005-04-22.70,C/2005 H3 SOHO-944,H.Su,C2 C3,0.0049
2005-04-22.32,C/2005 H4 SOHO-945,C.Liang,C2,0.0051
2005-04-25.23,C/2005 H5 SOHO-946,T.Hoffman,C2,0.0052
2005-04-25.38,C/2005 H6 SOHO-947,R.Kracht,C2,0.0049
2005-04-26.65,C/2005 H8 SOHO-948,B.Zhou,C2,0.0051
2005-05-03.28,C/2005 J3 SOHO-951,C.Liang,C2,0.0051
2005-05-06.17,C/2005 J4 SOHO-952,M.Meyer,C2,0.0051
2005-05-09.41,C/2005 J5 SOHO-953,T.Hoffman,C2 C3,0.0050
2005-05-10.99,C/2005 J6 SOHO-954,B.Zhou,C2 C3,0.0055
2005-05-12.10,C/2005 J7 SOHO-955,B.Zhou,C2 C3,0.0049
2005-05-13.12,C/2005 J8 SOHO-956,H.Su,C2,0.0051
2005-05-14.52,C/2005 J9 SOHO-957,J.Sachs,C2,0.0051
2005-05-14.94,C/2005 J10 SOHO-958,B.Zhou,C2,0.0051
2005-05-15.62,C/2005 J11 SOHO-959,B.Zhou,C2,0.0051
2005-05-16.32,C/2005 J12 SOHO-960,T.Hoffman,C2,0.0051
2005-05-19.09,C/2005 K5 SOHO-962,H.Su,C2,0.0051
2005-05-20.55,C/2005 K6 SOHO-963,T.Hoffman,C2,0.0051
2005-05-20.95,C/2005 K7 SOHO-964,H.Su,C2,0.0050
2005-05-20.92,C/2005 K8 SOHO-965,K.Battams,C2,0.0051
2005-05-30.88,C/2005 K10 SOHO-969,K.Battams,C2,0.0049
2005-06-01.97,C/2005 L5 SOHO-970,H.Su,C2,0.0050
2005-06-06.16,C/2005 L6 SOHO-971,S.Hoenig & T.Hoffman,C2,0.0049
2005-06-06.53,C/2005 L8 SOHO-973,H.Su,C2,0.0052
2005-06-07.37,C/2005 L7 SOHO-972,T.Hoffman,C2 C3,0.0046
2005-06-07.41,C/2005 L9 SOHO-974,B.Zhou,C2 C3,0.0043
2005-06-10.03,C/2005 L10 SOHO-975,K.Cernis,C2,0.0073
2005-06-10.58,C/2005 L11 SOHO-976,B.Zhou,C2 C3,0.0048
2005-06-12.69,C/2005 L12 SOHO-977,T.Hoffman,C2 C3,0.0042
2005-06-12.49,C/2005 L13 SOHO-978,H.Su,C2,0.0073
2005-06-13.05,C/2005 L14 SOHO-979,T.Hoffman,C2,0.0053
2005-06-17.04,C/2005 M2 SOHO-981,K.Battams,C2 C3,0.0048
2005-06-17.07,C/2005 L15 SOHO-980,X.Leprette,C3,0.0048
