4019,Jul03 20 06:30:27, W.Boonplod,C3 C2,Kreutz,Jul03 20
4020,Jul03 20 06:50:42, W.Boonplod,C3 C2,Kreutz,Jul03 20
4021,Jul03 20 22:16:32, W.Boonplod,C3 C2,Kreutz,Jul04 20
4022,Jul04 20 07:19:11, M.Biesiada, C2,Kreutz,Jul04 20
4023,Jul05 20 13:25:52, W.Boonplod,C3 C2,Kreutz,Jul05 20
4024,Jul05 20 17:05:03, M.Uchina, C2,Kreutz,Jul05 20
4025,Jul07 20 08:03 AM, WB/MB/KK,C3 C2,Kreutz,Jul07-08 20
4026,Jul09 20 06:04:20, M.Biesiada,C3 C2,Kreutz,Jul09-10 20
4027,Jul14 20 10:22:42, M.Biesiada, C3,Kreutz,Jul14-15 20
4028,Jul15 20 12:01:28, W.Boonplod,C3 C2,Kreutz,Jul15-16 20
4029,Jul18 20 00:17:31, W.Boonplod,C3 C2,Kreutz,Jul18-19 20
4030,Jul20 20 23:10:59, W.Boonplod,C3 C2,Kreutz,Jul21 20
4031,Jul22 20 14:14:12, M.Uchina, C3,Kreutz,Jul22 20
4032,Jul25 20 12:31:58, W.Boonplod, C2,Meyer, Jul25 20
4033,Jul27 20 11:18:36, Z.Xu, C3,Kreutz,Jul27 20
4034,Jul28 20 06:15:20, M.Uchina, C3,Kreutz,Jul27 20
4035,Jul31 20 19:01:40, W.Boonplod, C3,Kreutz,Jul31 20
