Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
3980,May31 20 23:57:24,M.Uchina,C2,Kreutz,Jun01 20  
3981,Jun02 20 00:22:47,W.Boonplod,C2,Kreutz,Jun01 20
3982,Jun02 20 17:06:59,W.Boonplod,C2,Kreutz,Jun02 20
3983,Jun03 20 06:53:16,M.Uchina,C2,Kreutz,Jun03 20
3984,Jun04 20 17:38:45,W.Boonplod,C2,Kreutz,Jun04-05 20
3985,Jun05 20 23:25:42,W.Boonplod,C2,Kreutz,Jun06 20
3986,Jun06 20 09:30:49,M.Uchina,C2,Kreutz,Jun06 20
3987,Jun06 20 18:47:39,W.Boonplod,C2,Kreutz,Jun06 20
3988,Jun06 20 20:36:46,T.Prestgard,C2,Kreutz,Jun06 20
3989,Jun07 20 10:40:50,M.Biesiada,C2,Kreutz,Jun07 20
3990,Jun07 20 23:30:27,M.Uchina,C2,Kreutz,Jun07-08 20
3991,Jun08 20 03:08:08,M.Biesiada,C2,Kreutz,Jun08 20
3992,Jun08 20 06:29:24,T.Prestgard,C2,Kreutz,Jun08 20
3993,Jun09 20 08:40:10,M.Biesiada,C2,Kreutz,Jun09 20
3994,Jun09 20 09:31:33,M.Biesiada,C2,Kreutz,Jun09 20
3995,Jun09 20 12:43:02,W.Boonplod,C2,Kreutz,Jun09 20
3996,Jun09 20 12:46:09,W.Boonplod,C2,Kreutz,Jun09 20
3997,Jun09 20 12:52:26,W.Boonplod,C2,Kreutz,Jun09 20
3998,Jun14 20 17:42:17,M.Biesiada,C2,Kreutz,Jun14 20
3999,Jun14 20 23:54:47,W.Boonplod,C3 C2,Kreutz,Jun15-16 20
4000,Jun15 20 09:19:03,T.Prestgard,C3 C2,Kreutz,Jun15-16 20
