Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
5110,Oct06 24 03:36:01,J.Ruan,C3 C2,Kreutz,Oct06 24
5111,Oct06 24 06:08:13,H.Tan, C3 C2,Kreutz,Oct06 24
5112,Oct07 24 23:25:38,H.Tan, C3 C2,Kreutz,Oct08 24
5113,Oct11 24 04:25:52,J.Ruan,C3 C2,Kreutz,Oct11 24
5114,Oct12 24 01:02:44,E.Banach,C2,Kreutz,Oct12 24
X102,Oct13 24 06:22:09,H.Tan,C2,Kreutz,Oct13 24
5115,Oct14 24 15:34:24,H.Tan,C2,Kreutz,Oct14 24
5116,Oct17 24 11:31:57,H.Tan,C2,Kreutz,Oct17 24
5117,Oct17 24 20:47:03,W.Boonplod, C2,Kreutz,Oct18 24
5118,Oct19 24 13:24:12,Z.Yang,C3 C2,Kreutz,Oct19 24
5119,Oct23 24 14:40:23,H.Tan,C2,Kreutz,Oct23 24
5120,Oct26 24 02:10:14,Z.Xu,C2,Nongrp,Oct26 24
5121,Oct26 24 21:25:22,H.Tan,C3,Kreutz,Oct27 24
5122,Oct28 24 10:24:10,J.Ruan, C2,Kreutz,Oct28 24
5123,Oct28 24 17:38:41,R.Pickard,C2,Kreutz,Oct28 24
5124,Oct31 24 17:00:47,H.Tan, C3 C2,Kreutz,Oct31-Nov01 24 
