Soho#,Date/Time of Post,Discoverer,Tel,Group, Images of...
4507,Aug03 22 03:27:16,S.Gu,C3,Kreutz,Aug03 22
4508,Aug05 22 10:41:25,Z.Yang,C3 C2 Cr2,Kreutz,Aug05-07 22
4509,Aug05 22 12:35:01,R.Biros,C3,Kreutz,Aug05 22
4510,Aug08 22 07:03:38,Z.Chen,C2,Meyer,Aug08 22
4511,Aug11 22 10:55:30,Z.Yang,C3,Kreutz,Aug11 22
4512,Aug15 22 10:39:53,H.Tan, C2,NonGrp,Aug14 22
4513,Aug17 22 17:15:26,T.Prestgard, C3,Kreutz,Aug17 22
4514,Aug22 22 05:22:20,Z.Yang, H1 C3,Kreutz,Aug22 22
4515,Aug23 22 13:22:36,Z.Xu,C2,NonGrp,Aug23 22
4516,Aug26 22 07:09:42,W.Boonplod,H1 C3,Kreutz,Aug26 22
4517,Aug27 22 03:05:38,Z.Yang, H1 C3,Kreutz,Aug27 22
4518,Aug29 22 08:51:39,Z.Yang,H1 C3 C2,Kreutz,Aug29-30 22
4519,Aug31 22 05:25:36,Z.Yang, H1 C3,Kreutz,Aug30-31 22
