Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4662,May24 24 22:26:41,H.Tan,C2,Meyer,Sep18 97
5056,Jul08 24 08:35:00,Z.Yang,C2,Kreutz,Jul01 24
5057,Jul08 24 18:48:52,R.Pickard,C3 C2,Kreutz,Jul08-10 24
5058,Jul10 24 00:39:35,S.Seneviratne,C3 C2,NonGrp,Jul08 24
5059,Jul11 24 19:11:54,W.Boonplod,C3 C2,Kreutz,Jul11-12 24
5060,Jul12 24 00:53:23,J.Ruan,C3 C2,Kreutz,Jul12-13 24
5061,Jul14 24 20:28:28,J.Ruan,C3,NonGrp,Jul14 24
5062,Jul17 24 03:28:26,J.Ruan,C3,Kreutz,Jul17 24
5063,Jul17 24 16:43:03,R.Biros,C3,Kreutz,Jul17 24
5064,Jul19 24 22:23:57,J.Ruan,C2,Meyer,Jul20 24
5065,Jul25 24 05:02:32,J.Ruan,C3,Kreutz,Jul25-26 24
5066,Jul28 24 00:41:13,J.Ruan,C2,Meyer,Jul28 24
5067,May24 24 22:12:00,H.Tan,C2,NonGrp,Jun01 99
5068,May24 24 22:14:40,H.Tan,C2,NonGrp,Apr10 06
5069,Mar29 24 21:32:32,J.Ruan / W.Zhou,C3,Kreutz,Aug25 07
5070,May24 24 22:13:39,H.Tan,C2,Kracht,May16 08
5071,May24 24 22:19:04,H.Tan,C2,Meyer,Jun04 11
5072,May24 24 22:20:36,H.Tan,C2,Meyer,Oct11 12
5073,May24 24 22:22:32,H.Tan,C2,Meyer,Aug17 16
5074,May24 24 22:17:01,H.Tan,C2,Marsden, Jul24 18
5075,May24 24 22:23:53,H.Tan,C2,Meyer,Feb07 19
5076,Mar29 24 21:29:33,J.Ruan / W.Zhou,C3,Kreutz,Jul14 19
5077,May24 24 22:25:17,H.Tan,C2,Meyer,Aug30 19
5078,Aug18 24 07:29:32,J.Ruan / W.Zhou,C2,Kreutz,Dec24 21
5079,Aug18 24 07:32:40,J.Ruan,C2,Kreutz,Apr12 22
5080,Aug18 24 07:36:00,J.Ruan,C2,Kreutz,Jun21 22
5081,Aug01 24 08:39:47,J.Ruan,C3,Kreutz,Aug01 24
5082,Aug01 24 20:51:29,J.Ruan,C3,Kreutz,Aug01-02 24
5083,Aug05 24 20:52:17,H.Tan,C3,Kreutz,Aug05-06 24
5084,Aug07 24 01:45:29,J.Ruan,C3,Kreutz,Aug07 24
5085,Aug07 24 01:57:03,J.Ruan,C2,Meyer,Aug07 24
5086,Aug10 24 15:40:25,Z.Xu, C3,Kreutz,Aug10-11 24
5087,Aug11 24 08:54:42,J.Ruan,C3,Kreutz,Aug11 24
5088,Aug19 24 07:56:59,Z.Yang,C3,Kreutz,Aug19 24
5089,Aug21 24 20:01:48,J.Ruan,C3,Kreutz,Aug21-22 24
5090,Aug25 24 03:45:40,J.Ruan,C3 C2,Kreutz,Aug25-26 24
5091,Aug27 24 19:16:54,J.Ruan,C3,Kreutz,Aug27-28 24
5092,Aug30 24 11:35:10,J.Ruan,C3,Kreutz,Aug28-29 24
5093,Aug31 24 00:10:33,W.Boonplod,C2,Meyer,Aug31 24
5094,Aug31 24 06:33:13,J.Ruan,C3,Kreutz,Aug31 24
5095,Aug31 24 18:43:19,J.Ruan,C3,Kreutz,Aug31-Sep01 24
5096,Aug31 24 18:44:33,J.Ruan,C3,Kreutz,Aug31-Sep01 24
