Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4869,Sep04 23 19:52:28,Z.Yang,C3,Kreutz,Sep04-05 23
4870,Sep06 23 12:32:19,R.Pickard,C3 C2, Kreutz,Sep06-07 23
4871,Sep11 23 23:47:24,J.Ruan,C2,NonGrp,Sep11-12 23
4872,Sep12 23 22:40:45,W.Boonplod,C3,Kreutz,Sep12-13 23
XC99,Sep14 23 12:30:57,R.Pickard,C3,NonGrp,Sep14 23
4873,Sep17 23 14:38:40,R.Pickard,C3,Kreutz,Sep17 23
4874,Sep19 23 12:17:47,R.Pickard,C3,Kreutz,Sep19 23
4875,Sep23 23 11:29:54,Z.Yang,C3 C2, Kreutz,Sep23 23
4876,Sep26 23 04:47:48,J.Ruan,C3 C2, Kreutz,Sep26 23
4877,Sep26 23 23:22:13,J.Ruan,C3 C2, Kreutz,Sep27 23
4878,Sep27 23 04:49:30,J.Ruan,C3,Kreutz,Sep27 23
4879,Jul10 23 08:29:11,J.Ruan / W.Zhou,C2,Kreutz,Mar31 18
4880,Jul25 23 22:28:18,R.Pickard,C3,Kreutz,Jul25-26 23
4881,Jul25 23 22:31:16,R.Pickard,C3,Kreutz,Jul25-26 23
4882* ,Sep30 23 01:35am, W.Boonplod,C2,Meyer,Sep30 23
4883* ,Sep30 23 11:43am, J.Ruan,C3 C2, Kreutz,Sep30 23
4884* ,Sep30 23 05:50pm, S.Liwo,C2,Kreutz,Sep30 23 
4885,May28 23 01:37:27,J.Ruan / W.Zhou,C2,Kreutz,Dec01 05
