Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4968,Jan02 24 18:09:24,H.Tan,C3 C2,Kreutz,Jan02-04 24
4969,Jan02 24 19:20:24,H.Tan,C2, Kreutz,Jan02 24
4970,Jan06 24 19:22:10,J.Ruan, C3, Kreutz,Jan07 24
4971,Jan07 24 01:41:01,J.Ruan,C3 C2,Kreutz,Jan07-08 24
4972,Jan13 24 21:17:47,R.Pickard, C3 C2,Kreutz,Jan13-14 24
4973,Jan16 24 10:52:32,H.Tan,C3, Kreutz,Jan16-17 24
4974,Jan24 24 19:30:45,J.Ruan, C3, Kreutz,Jan24-25 24
4975,Jan25 24 17:02:36,H.Tan,C3 C2,Kreutz,Jan25-27 24
4976,Jan29 24 02:18:54,H.Tan,C2, NonGrp,Jan29 24
4977,Jan31 24 23:27:36,J.Ruan, C3, Kreutz,Feb01 24
4978,Feb01 24 12:48:34,HT / JR / MB / EB,C3 C2A C2, Kreutz,Feb01-03 24 
4979,Feb03 24 03:03:18,H.Tan,C3 C2,Kreutz,Feb03-04 24
4980,Feb03 24 20:15:14,W.Boonplod,C3, Kreutz,Feb04 24
