Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4941,Dec01 23 02:48:03,J.Ruan,C3 C2, Kreutz,Dec01-02 23
4942,Dec01 23 21:44:49,H.Tan, C2,Kreutz,Dec01-02 23
4943,Dec02 23 14:51:07,Z.Xu,C3 C2, Kreutz,Dec02-03 23
4944,Dec02 23 15:52:33,H.Tan, C2,Kreutz,Dec02-03 23
4945,Dec03 23 10:03:36,H.Tan, C2,Kreutz,Dec03 23
4946,Dec07 23 00:10:50,J.Ruan,C2,Kreutz,Dec06-07 23
4947,Dec08 23 23:39:57,J.Ruan,C2,Kreutz,Dec09 23
4948,Dec09 23 06:21:00,J.Ruan,C2,NonGrp,Dec09 23
4949,Dec09 23 15:15:10,J.Ruan, C3 C2A C2,Kreutz,Dec09-12 23
4950,Dec09 23 17:08:04,J.Ruan,C2,Kreutz,Dec09-10 23
4951,Dec10 23 23:31:43,J.Ruan,C2,Kreutz,Dec10-11 23
4952,Dec11 23 05:24:56,J.Ruan,C2,Kreutz,Dec11 23
4953,Dec11 23 18:54:28,J.Ruan,C2,Kreutz,Dec11 23
4954,Dec11 23 21:53:05,J.Ruan,C2,Kreutz,Dec12 23
4955,Dec14 23 10:28:43,J.Ruan,C3 C2, Kreutz,Dec14-15 23
4956,Dec16 23 04:57:23,J.Ruan,C2,Kreutz,Dec15-16 23
4957,Dec17 23 04:29:21,J.Ruan,C2,Kreutz,Dec16-17 23
4958,Dec17 23 13:26:43,J.Ruan,C3 C2, Kreutz,Dec17 23
4959,Dec17 23 13:26:43,J.Ruan,C2,Kreutz,Dec18 23
4960,Dec22 23 05:14:41,W.Boonplod, C2,Meyer,Dec22 23
