Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
4585,Dec01 22 10:47:02, H.Tan,C2,Kreutz,Dec01 22
4586,Dec03 22 03:05:12, Z.Yang/H.Tan, C2,Kreutz,Dec03 22
4587,Dec03 22 15:11:46, H.Tan,C2,Kreutz,Dec03 22
4588,Dec04 22 06:56:42, J.Ruan, C2,Kreutz,Dec04 22
4589,Dec05 22 00:14:58, Tan,Yang/Ruan,C2,Kreutz,Dec05 22
4590,Dec06 22 16:22:38, W.Boonplod,C3 C2,Kreutz,Dec06-07 22
4591,Dec08 22 11:31:08, J.Ruan, C2,Kreutz,Dec08 22
4592,Dec15 22 04:05:19, W.Boonplod,C3 C2 C2A,Kreutz,Dec15-17 22
4593,Dec15 22 21:59:01, W.Boonplod,C3 C2,Kreutz,Dec15-16 22
4594,Dec18 22 05:38:18, J.Ruan, C2,Kreutz,Dec18 22
4595,Dec21 22 17:42:54, W.Boonplod,C3 C2,Kreutz,Dec21-23 22
4596,Dec21 22 21:41:21, W.Boonplod,C3 C2,Kreutz,Dec22 22
4597,Dec23 22 23:03:51, W.Boonplod, C2,Kreutz,Dec24 22
4598,Jan01 23 20:57:41, J.Ruan, C2,Kreutz,Dec31 22
