Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
5125,Nov02 24 18:45:12,W.Boonplod,C2 C3,Meyer,Nov02-03 24
5126,Nov03 24 03:43:22,E.Banach,C2,Meyer,Nov03 24
5127,Nov06 24 09:29:56,J.Ruan,C3 C2,Kreutz,Nov06-07 24
5128,Nov06 24 20:16:21,J.Ruan,C2,Kreutz,Nov07 24
5129,Nov09 24 02:05:10,H.Tan,C2,Kreutz,Nov09 24
5130,Nov09 24 11:21:29,Z.Xu,C2,Kreutz,Nov09 24
5131,Nov10 24 11:03:10,E.Banach,C2,Kreutz,Nov10 24
5132,Nov10 24 21:12:52,W.Boonplod,C3 C2,Kreutz,Nov10-11 24
5133,Nov12 24 14:16:50,H.Tan / E.Banach,C2,Kreutz,Nov12 24
5134,Nov15 24 02:28:38,H.Tan,C2,Kreutz,Nov15 24
5135,Nov17 24 12:39:56,H.Tan,C3 C2,Kreutz,Nov17-18 24
5136,Nov21 24 00:56:50,Z.Yang,,C3 C2A C2, Kreutz,Nov21-23 24
5137,Nov22 24 11:08:38,Z.Xu,C3 C2,Kreutz,Nov22 24
5138,Nov22 24 15:29:58,E.Banach,C2,Kreutz,Nov22 24
5139,Nov22 24 16:54:54,E.Banach,C2,Kreutz,Nov22 24
5140,Nov24 24 14:37:36,M.Kaszczyk, C2,Kreutz,Nov24 24
5141,Nov25 24 00:46:08,W.Boonplod,C3 C2,Kreutz,Nov25-26 24
5142,Nov25 24 02:03:40,W.Boonplod, C2,Kreutz,Nov25 24
