Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
5148,Nov30 24 21:04:48,J.Ruan,C3 C2,Kreutz,Dec01 24
5149,Dec01 24 10:28:48,E.Banach,C2,Kreutz,Dec01 24
5150,Dec01 24 11:21:40,Z.Xu,C3 C2,Kreutz,Dec01-02 24
5151,Dec01 24 13:10:52,E.Banach,C2,Kreutz,Dec01 24
5152,Dec02 24 04:27:40,E.Banach,C2,Kreutz,Dec02 24
5153*,Dec02 24 10:27am,Yang / Boonplod,C2,Kreutz,Dec02 24
5154,Dec02 24 19:06:36,J.Ruan,C3 C2,Kreutz,Dec02-03 24
5155*,Dec03 24 06:16am,M.Kaszczyk,C2,Kreutz,Dec03 24
5156,Dec03 24 11:01:27,Z.Yang,C2,Kreutz,Dec03 24
5157,Dec03 24 22:27:40,W.Boonplod,C2,Kreutz,Dec03-04 24
5158,Dec06 24 00:28:48,E.Banach,C2,Kreutz,Dec06 24
5159,Dec06 24 03:31:29,J.Ruan,C2,Kreutz,Dec06 24
5160,Dec08 24 12:06:52,E.Banach,C2,Kreutz,Dec08 24
5161,Dec12 24 22:47:56,Z.Xu,C3 C2,Kreutz,Dec12-13 24
5162,Dec18 24 19:08:59,H.Tan,C3 C2,Kreutz,Dec18-19 24
5163,Dec21 24 12:35:36,H.Tan,C3 C2,Kreutz,Dec21-22 24
5164,Dec23 24 20:01:41,H.Tan,C3 C2,Kreutz,Dec24-25 24
5165,Dec25 24 16:11:06,H.Tan,C3 C2,Kreutz,Dec25-26 24
5166,Dec29 24 08:30:18,W.Boonplod,C2,Kreutz,Dec29 24
5167,Dec30 24 11:44:07,Z.Xu,C3 C2,Kreutz,Dec30-31 24
5168,Dec30 24 21:32:33,Z.Xu,C2,Kreutz,Dec31 24
5169,Jan01 25 09:47:25,Z.Xu,C3 C2,Kreutz,Jan01 25
5170,Jan03 25 02:07:26,J.Ruan,C3 C2,Kreutz,Jan03 25
5171,Jan13 25 02:12:09,J.Ruan,C3,Kreutz,Jan13 25
5172,Jan15 25 18:42:11,W.Boonplod,C3,Kreutz,Jan15 25
5173,Jan21 25 16:58:07,W.Boonplod,C3,Kreutz,Jan21 25
5174,Jan22 25 19:42:56,J.Ruan,C3,Kreutz,Jan22 25
5175,Jan25 25 04:08:19,J.Ruan,C3 C2,Meyer,Jan25 25
5176,Jan27 25 19:34:24,R.Pickard,C3,Kreutz,Jan27 25
