Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
4977,Jan31 24 23:27:36,J.Ruan,C3,Kreutz,Feb01 24
4978,Feb01 24 12:48:34,HT / JR / MB / EB,C3 C2A C2, Kreutz,Feb01-03 24 
4979,Feb03 24 03:03:18,H.Tan, C3 C2, Kreutz,Feb03-04 24
4980,Feb03 24 20:15:14,W.Boonplod, C3,Kreutz,Feb04 24
4981,Feb04 24 02:52:21,R.Pickard,C3,Kreutz,Feb04 24
4982,Feb08 24 02:47:41,W.Boonplod, C3,Kreutz,Feb08 24
4983,Feb08 24 14:29:04,E.Banach / H.Tan,C3,Kreutz,Feb08 24
4984,Feb11 24 01:17:10,Z.Yang,C3,Kreutz,Feb11 24
4985,Feb14 24 05:35:46,W.Boonplod, C3,Kreutz,Feb14 24
4986,Feb16 24 19:34:08,H.Tan, C2,Marsden, Feb16-17 24
4987,Feb16 24 19:52:40,J.Ruan,C3,Kreutz,Feb16 24
4988,Feb19 24 11:14:17,E.Banach,C3,Kreutz,Feb19 24
4989,Feb25 24 17:19:13,H.Tan, C2,Marsden, Feb24 24
4990*, Feb26 24 10:52PM, H.Tan,C3 C2,Kreutz,Feb27 24
