Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3890,Jan13 2020 03:38:54, W.Boonplod,C3 C2,Kreutz,Jan12-13 2020
3891,Jan19 2020 22:34:50, M.Uchina, C3,Kreutz,Jan19 2020
3892,Jan20 2020 14:06:42, W.Boonplod, C3,Kreutz,Jan20 2020
3893,Jan23 2020 12:00:14, W.Boonplod, C2,NonGrp,Jan23 2020
3894,Jan29 2020 03:15:09, W.Boonplod, C3,Kreutz,Jan29 2020
3895,Jan30 2020 22:37:31	,M.Uchina, C2,Meyer, Jan31 2020
3896,Jan31 2020 19:48:36	,W.Boonplod, C3,Kreutz,Jan31-Feb01 2020
3897,Feb04 2020 22:50:43, W.Boonplod, C3,Kreutz,Feb05 2020
3898,Feb07 2020 00:39:26, W.Boonplod, C3,Kreutz,Feb07 2020
3899,Feb08 2020 15:04:10, M.Uchina, C3,Kreutz,Feb08-09 2020
3900,Feb09 2020 02:49:20, W.Boonplod,C3 C2,Kreutz,Feb09-10 2020
3901,Feb09 2020 17:12:25, W.Boonplod, C3,Kreutz,Feb09-10 2020
3902,Feb10 2020 12:52:10, W.Boonplod, C3,Kreutz,Feb10-11 2020
3903,Feb13 2020 02:09:03	,W.Boonplod, C3,Kreutz,Feb12 2020
3904,Feb20 2020 15:10:49	,W.Boonplod, C3,Kreutz,Feb20 2020
3905,Feb22 2020 14:37:41	,W.Boonplod, C3,Kreutz,Feb22 2020
3906,Feb25 2020 19:08:58	,W.Boonplod, C3,Kreutz,Feb25 2020
3907,Feb29 2020 19:19:50	,W.Boonplod, C3,Kreutz,Feb29-Mar01 2020
3908,Mar06 2020 20:17:06, W.Boonplod,C3 C2,Kreutz,Mar06-07 2020
3909,Mar08 2020 01:20:16, W.Boonplod, C2,Meyer, Mar08 2020
3910,Mar08 2020 14:35:31, W.Boonplod, C2,Meyer, Mar08 2020
3911,Mar09 2020 23:24:00	,M.Uchina, C3,Kreutz,Mar10 2020
3912,Mar10 2020 13:15:57, K.Kida,C3 C2,Kreutz,Mar10-11 2020 
3913,Mar12 2020 03:49:07, W.Boonplod,C3 C2,Kreutz,Mar12 2020
3914,Mar12 2020 17:10:17, M.Uchina, C2,Kreutz,Mar12 2020
3915,Mar13 2020 21:40:50, W.Boonplod,C3 C2,Kreutz,Mar13-14 2020
3916,Mar14 2020 23:12:25, W.Boonplod, C3,Kreutz,Mar14-15 2020
3917,Mar18 2020 07:27:29, M.Kusiak,C3 C2,Kreutz,Mar18-19 2020
3918,Mar22 2020 22:58:42, W.Boonplod,C3 C2,Kreutz,Mar22-23 2020
3919,Mar23 2020 06:44:49, M.Uchina, C2,Kreutz,Mar23 2020
3920,Mar26 2020 22:31:36, W.Boonplod, C2,Kreutz,Mar26 2020
3921,Mar27 2020 21:25:53, W.Boonplod, C2,Meyer, Mar27 2020
3922,Apr04 2020 11:52:57, K.Kida, C2,Kreutz,Apr04 2020
3923,Apr04 2020 13:53:35, S.Liwo,C3 C2,Kreutz,Apr04-05 2020
3924,Apr06 2020 09:27:28, W.Boonplod, C2,Kreutz,Apr06 2020
3925,Apr09 2020 19:07:19, Boonplod/Uchina, C2, Kreutz,Apr09 2020
3926,Apr10 2020 01:24:16, W.Boonplod, C2,Kreutz,Apr10 2020
3927*, Apr10 2020 11:39pm,W.Boonplod,C3 C2,Kreutz,Apr10-11 2020
3928,Apr16 2020 07:21:26, M.Uchina, C2,Kreutz,Apr14 2020 
3929,Apr17 2020 10:13:28, K.Kida,C3 C2,Kreutz,Apr17-18 2020
3930,Apr17 2020 11:12:21, M.Kusiak, C2,Kreutz,Apr17 2020
3931,Apr17 2020 11:38:36, W.Boonplod, C2,Meyer, Apr16-17 2020
3932,C/2020 F8 (SWAN),M.Mattiazzo, SWAN, NonGrp,
3933,Apr21 2020 14:47:25, Z.Xu, C2,Kreutz,Apr21 2020
3934,Apr25 2020 08:29:39, Z.Cao,C2,Kreutz,Apr25 2020
3935,Apr27 2020 08:49:21, M.Kusiak, C2,Kreutz,Apr27 2020
3936,Apr29 2020 14:46:32, W.Boonplod, C2,Kreutz,Apr29 2020
3937,Apr22 2020 14:21:00, Z.Xu,C3 C2,Kreutz,Apr22-23 2020
3938,Feb11 2020 05:37:29, P.Berrett,C2,Meyer, Jul31 2008
3939,Feb05 2020 08:07:04, P.Berrett,C2,Meyer, Jan29 2011
3940,Feb03 2020 05:36:53, P.Berrett,C2,Meyer, Jun14 2012
3941,Jan18 2020 01:07:57, P.Berrett,C2,Meyer, Jun20 2013
3942,Jan18 2020 09:02:22, P.Berrett,C2,Meyer, Dec10 2013
3943,Jan18 2020 23:14:14, P.Berrett,C2,Kracht,Jun06 2014
3944,Apr23 2020 18:35:27, T.Prestgard,C2,Kreutz,Mar27 2015
3945,Jan31 2020 06:17:52, P.Berrett,C2,NonGrp,Feb19 2016
3946,Jan29 2020 07:55:49, P.Berrett,C2,Meyer, Jan31 2018
3947,Mar26 2020 03:21:51, T.Prestgard,C2,Kreutz,Mar23 2018
3948,Mar30 2020 13:36:23, T.Prestgard,C2,Kreutz,Apr01 2018
3949,Mar30 2020 13:44:03, T.Prestgard,C2,Kreutz,Apr05 2018
3950,Mar30 2020 15:17:25, T.Prestgard,C2,Kreutz,Apr18 2018
3951,Mar30 2020 16:52:09, T.Prestgard,C2,Kreutz,Apr28 2018
3952,Jan04 2020 09:48:42, P.Berrett,C2,Kracht,Feb25 2019
3953*, Apr11 2020 05:37pm,W.Boonplod,C3 C2,Kreutz,Apr11-12 2020
3954,May01 20 08:42:10, K.Kida, C2,Kreutz,May01 20
3955,May02 20 19:23:22, T.Prestgard,C2,Kreutz,May02 20
3956,May08 20 09:07:36, W.Boonplod, C2,Kreutz,May08 20
3957,May09 20 20:08:05, W.Boonplod, C2,Kreutz,May09-10 20
3958,May10 20 01:17:19, W.Boonplod, C2,Kreutz,May10 20
3959,May10 20 02:22:24, M.Uchina, C2,Kreutz,May10 20
3960,May10 20 17:13:03, M.Uchina, C2,Kreutz,May10 20
3961,May11 20 11:40:00, Z.Xu, C2,Kreutz,May11 20
3962,May11 20 22:55:27, W.Boonplod, C2,Kreutz,May12 20
3963,May14 20 01:51:58, W.Boonplod,C3 C2,Kreutz,May13-14 20
XC94,May16 20 00:11:08, M.Uchina, C2,Kreutz,May15 20
3964,May18 20 03:19:51, M.Uchina, C2,Kreutz,May18 20
3965,May19 20 00:18:56, W.Boonplod, C2,Kreutz,May18-19 20
3966,May19 20 08:35:56, M.Uchina,C3 C2,Kreutz,May19-20 20
