Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
3954,May01 20 08:42:10, K.Kida, C2,Kreutz,May01 20
3955,May02 20 19:23:22, T.Prestgard,C2,Kreutz,May02 20
3956,May08 20 09:07:36, W.Boonplod, C2,Kreutz,May08 20
3957,May09 20 20:08:05, W.Boonplod, C2,Kreutz,May09-10 20
3958,May10 20 01:17:19, W.Boonplod, C2,Kreutz,May10 20
3959,May10 20 02:22:24, M.Uchina, C2,Kreutz,May10 20
3960,May10 20 17:13:03, M.Uchina, C2,Kreutz,May10 20
3961,May11 20 11:40:00, Z.Xu, C2,Kreutz,May11 20
3962,May11 20 22:55:27, W.Boonplod, C2,Kreutz,May12 20
3963,May14 20 01:51:58, W.Boonplod,C3 C2,Kreutz,May13-14 20
XC94,May16 20 00:11:08, M.Uchina, C2,Kreutz,May15 20
3964,May18 20 03:19:51, M.Uchina, C2,Kreutz,May18 20
3965,May19 20 00:18:56, W.Boonplod, C2,Kreutz,May18-19 20
3966,May19 20 08:35:56, M.Uchina,C3 C2,Kreutz,May19-20 20
3967,May20 20 13:50:43, M.Uchina, C2,Kreutz,May20 20
3968,May21 20 21:06:35, W.Boonplod,C3 C2,NonGrp,May21-22 20
3969,May22 20 02:46:20, W.Boonplod,C3 C2,Kreutz,May22 20
3970,May22 20 09:00:28, W.Boonplod, C2,Meyer, May22 20
3971,May22 20 21:43:55, W.Boonplod, C2,Kreutz,May23 20
3972,May28 20 06:43:51, M.Uchina, C2,Kreutz,May26 20
3973,May28 20 10:55:56, W.Boonplod, C2,Kreutz,May28 20
3974,May29 20 05:51:42, W.Boonplod, C2,Kreutz,May29 20
3975,May29 20 17:29:29, W.Boonplod,C3 C2,Meyer, May29 20
3976,May30 20 06:42:45, W.Boonplod, C2,Meyer, May29-30 20
3977,May30 20 23:23:02, W.Boonplod,C3 C2,Kreutz,May31-Jun01 20
3978,May30 20 23:49:48, W.Boonplod, C2,Kreutz,May20 20
3979,May31 20 23:57:24, M.Uchina, C2,Kreutz,Jun01 20 
