Confirmation date,Confirmed by,Tel,Discovery report date,Group
Dec 31 2020 05:10:56,Rafal Biros,C2,201231 04:38:34,Kreutz group comet
Dec 29 2020 15:57:50,Sergey Shurpakov,C3,2020-12-29 15:23:17,Kreutz group comet
Dec 29 2020 15:57:37,Rafal Biros,C3,201229 15:23:17,Kreutz group comet
Dec 23 2020 10:22:25,Worachate Boonplod,C2,2020-12-23     09:45:36,Kreutz group comet
Dec 23 2020 10:20:04,Worachate Boonplod,C2, 2020-12-23 07:32:22,Kreutz group comet
Dec 22 2020 09:57:34,Worachate Boonplod,C2,2020-12-22 08:04:53,Kreutz group comet
Dec 21 2020 16:50:02,Worachate Boonplod,C2,2020-12-21 16:06:30,Kreutz group comet
Dec 18 2020 05:42:45,Michal Biesiada,C3,20-12-18 04:57:31,Kreutz group comet
Dec 14 2020 05:41:08,Sergey Shurpakov,C3,2020/12/13 15:14:59,Kreutz group comet
Dec 09 2020 17:22:01,Sergey Shurpakov,C2,2020/12/09 14:28:42,Kreutz group comet
Dec 09 2020 17:12:23,Sergey Shurpakov,C3,2020/12/09 14:26:02,Kreutz group comet
Dec 09 2020 05:45:49,	Worachate Boonplod,C2,2020-12-09 04:41:02,Kreutz group comet
Dec 06 2020 07:25:39,Trygve Prestgard,C2, 2020-12-06     01:59:15,Kreutz group comet
Dec 04 2020 17:49:26,Worachate Boonplod,C2,2020-12-04 17:19:02,Kreutz group comet
Dec 02 2020 07:16:48,Worachate Boonplod,C2, 2020-12-02 06:23:56,Kreutz group comet
